蝶々,,,,
ちょ,57,67,,
う,４,64,,
ちょ,57,64,,
ちょ,57,65,,
う,４,62,,
ちょ,57,62,,
菜,63,60,,
の,67,62,,
葉,71,64,,
に,64,65,,
と,45,67,,
ま,100,67,,
れ,114,67,,
菜,63,67,,
の,67,64,,
葉,71,64,,
に,64,64,,
あ,0,65,,
い,1,62,,
た,41,62,,
ら,111,62,,
さ,21,60,,
く,7,64,,
ら,111,67,,
に,64,67,,
と,45,64,,
ま,100,64,,
れ,114,64,,
さ,21,62,,
く,7,62,,
ら,111,62,,
の,67,62,,
は,71,62,,
な,63,64,,
の,67,65,,
は,71,64,,
な,63,64,,
か,5,64,,
ら,111,64,,
は,71,64,,
な,63,65,,
へ,3,67,,
と,45,67,,
ま,100,64,,
れ,114,64,,
よ,110,64,,
あ,0,65,,
そ,25,62,,
べ,79,62,,
あ,0,60,,
そ,25,64,,
べ,79,67,,
よ,110,67,,
と,45,64,,
ま,100,64,,
れ,114,64,,
